item_id,statement_guid,property_id,wikidata_value,meta_wikidata_value,external_value,external_url,type
Q1700513,Q1700513$126C9388-6F08-4740-BA03-1C0620C87D88,P569,+1904-10-05T00:00:00Z,,+1905-10-05T00:00:00Z,https://catalogue.bnf.fr/ark:/12148/cb138953701,statement
Q75612,q75612$F765C350-F858-4484-9BF1-A3F22D02F1F3,P569,+1904-01-01T00:00:00Z,,+1902-11-21T00:00:00Z,https://www.discogs.com/artist/518284,statement
Q113977281,Q113977281$F45BCA80-158C-4F08-957D-7122B296517D,P569,+1928-01-01T00:00:00Z,,+1924-11-03T00:00:00Z,https://dbn.bn.org.pl/descriptor-details/9810691338305606,statement
Q265531,q265531$AC353C88-07BE-4863-B960-A22BFD7512C5,P569,+1916-02-08T00:00:00Z,,+1913-02-08T00:00:00Z,https://www.ibdb.com/broadway-cast-staff/40434,statement
Q4484168,Q4484168$6CBEDB62-E6F0-4E04-87E7-B86601A02320,P569,+1864-07-08T00:00:00Z,,+1868-07-28T00:00:00Z,http://www.enciklopedija.hr/Natuknica.aspx?ID=48081,statement
Q3496859,Q3496859$524B1AB7-A94F-429D-B561-151C5C39582A,P569,+1890-07-17T00:00:00Z,,+1891-07-17T00:00:00Z,https://www.ibdb.com/broadway-cast-staff/34139,statement
Q2763760,Q2763760$948CFF3F-7D8E-436D-922A-2759AC267C1C,P570,+2010-02-20T00:00:00Z,,+2012-02-20T00:00:00Z,https://www.ibdb.com/broadway-cast-staff/485675,statement
Q5672878,Q5672878$D8AB6F8E-8340-47CE-935F-801DC3212D97,P569,+1914-09-18T00:00:00Z,,+1918-09-18T00:00:00Z,https://www.ibdb.com/broadway-cast-staff/96398,statement
Q193426,q193426$D509F830-6C2B-4F1F-A5D9-430DB2C8C732,P569,+1923-07-06T00:00:00Z,,+1921-07-06T00:00:00Z,https://www.tradingcarddb.com/Person.cfm/pid/77136/,statement
Q268695,q268695$7CE03942-7A5E-4977-B0B6-231671452848,P569,+1915-08-15T00:00:00Z,,+1910-08-15T00:00:00Z,https://www.mymovies.it/persone/-/4179,statement
Q242460,q242460$048DD742-35AD-47F0-BF83-0461A5B3DF45,P569,+1900-09-13T00:00:00Z,,+1904-09-13T00:00:00Z,https://pantheon.world/profile/person/Gladys_George,statement
Q3190000,Q3190000$6A6676FB-D3CD-4779-A339-3685D50249C5,P569,+1917-01-01T00:00:00Z,,+1912-06-22T00:00:00Z,https://www.ibdb.com/broadway-cast-staff/7027,statement
Q88969627,Q88969627$feb843a9-49b6-6a0c-dd61-b52be142f543,P569,+1880-10-17T00:00:00Z,,+1884-10-17T00:00:00Z,https://www.ibdb.com/broadway-cast-staff/35635,statement
Q380272,Q380272$A6F44FAC-28A3-4980-9386-2E16EABFA080,P569,+1952-10-27T00:00:00Z,,+1946-10-27T00:00:00Z,https://ssl.ofdb.de/view.php?page=person&id=5701,statement
