"item","openLibraryID","publicationDate"
"Q73588","OL59826W","1995-01-01T00:00:00Z"
"Q7359504","OL19747W","2008-06-01T00:00:00Z"
"Q735979","OL23770W","1994-04-01T00:00:00Z"
"Q73608109","OL10364579W","1896-01-01T00:00:00Z"
"Q7360913","OL40867W","1976-01-01T00:00:00Z"
"Q7361037","OL15150990W","1936-10-01T00:00:00Z"
"Q7361187","OL4034298W","2001-01-01T00:00:00Z"
"Q7361465","OL74202W","2008-01-01T00:00:00Z"
"Q7362712","OL2114114W","2008-01-01T00:00:00Z"
"Q7363212","OL12497W","2001-01-01T00:00:00Z"
"Q7363279","OL20936W","1862-01-01T00:00:00Z"
"Q736604","OL2563213W","1974-01-01T00:00:00Z"
"Q7366267","OL2685702W","1990-01-01T00:00:00Z"
"Q7366267","OL2685702W","1990-04-01T00:00:00Z"
"Q7366291","OL1938251W","2002-01-01T00:00:00Z"
"Q7366403","OL30491W","1970-01-01T00:00:00Z"
"Q73706","OL77781W","1923-01-01T00:00:00Z"
"Q7370629","OL4793565W","1953-01-01T00:00:00Z"
"Q73742845","OL20639540W","2019-07-16T00:00:00Z"
"Q7375239","OL4585356W","2001-01-01T00:00:00Z"
"Q7375805","OL2113758W","1996-01-01T00:00:00Z"
"Q7376064","OL74206W","1999-01-01T00:00:00Z"
"Q7376330","OL14937697W","2002-03-26T00:00:00Z"
"Q7376438","OL29528W","1973-01-01T00:00:00Z"
"Q7378069","OL78546W","1943-01-01T00:00:00Z"
"Q7379004","OL5826339W","2006-01-01T00:00:00Z"
"Q7379065","OL15059387W","1973-04-01T00:00:00Z"
"Q7379171","OL2718325W","1975-01-01T00:00:00Z"
"Q737941","OL14952310W","2006-04-01T00:00:00Z"
"Q7379564","OL14920188W","2009-02-02T00:00:00Z"
"Q7379954","OL3917431W","1970-01-01T00:00:00Z"
"Q7379978","OL548202W","1996-01-01T00:00:00Z"
"Q7380003","OL261888W","1988-01-01T00:00:00Z"
"Q7380060","OL5683604W","1997-08-19T00:00:00Z"
"Q7380067","OL8121865W","2005-01-01T00:00:00Z"
"Q7380067","OL8121865W","2005-03-15T00:00:00Z"
"Q7380118","OL1882887W","2002-10-21T00:00:00Z"
"Q7381995","OL8755349W","2007-04-03T00:00:00Z"
"Q7382342","OL2647296W","1991-07-01T00:00:00Z"
"Q7382652","OL8826590W","2005-01-01T00:00:00Z"
